Passenger ID,start hour,start minute,Start Station,Start Lat ,Start Lng,End Station,End Lat ,End Lng,Walking Time,Waiting Time,Riding Time
627,6,30,Start Station,33.775605,-84.190938,End Station,33.762375,-84.387353,1018,655,2076
630,6,44,Start Station,33.755929,-84.165436,End Station,33.760904,-84.387645,309,1582,2479
649,6,24,Start Station,33.757231,-84.181907,End Station,33.753815,-84.390284,840,654,1995
875,6,34,Start Station,33.751172,-84.159508,End Station,33.920474,-84.33557,2464,1695,3692
925,7,37,Start Station,33.740571,-84.237624,End Station,33.765196,-84.387428,649,746,3020
1550,6,33,Start Station,33.840368,-84.42714,End Station,33.728338,-84.390193,506,1176,2917
1552,7,18,Start Station,33.728338,-84.390193,End Station,33.746596,-84.33176,587,833,1559
1553,6,38,Start Station,33.762214,-84.422275,End Station,33.732365,-84.390878,206,597,1437
1554,8,58,Start Station,33.730415,-84.389447,End Station,33.752486,-84.32616,953,668,2144
1555,8,58,Start Station,33.733141,-84.389342,End Station,33.860106,-84.350431,722,1523,2014
1556,8,26,Start Station,33.72115,-84.388175,End Station,33.784354,-84.392035,1217,655,1187
1559,8,34,Start Station,33.733732,-84.386293,End Station,33.741408,-84.408589,558,1188,2878
1596,7,5,Start Station,33.665296,-84.384442,End Station,33.931303,-84.354318,482,525,3420
1598,6,33,Start Station,33.799009,-84.394199,End Station,33.678566,-84.423596,409,1560,2647
1601,7,16,Start Station,33.672752,-84.390643,End Station,33.659713,-84.379123,560,623,1042
1621,8,8,Start Station,33.741853,-84.525656,End Station,33.77285,-84.282699,515,841,3821
1630,8,0,Start Station,33.741904,-84.523452,End Station,33.751101,-84.444107,670,841,2381
1632,6,8,Start Station,33.753957,-84.532516,End Station,33.698257,-84.489437,1095,1142,2316
1636,8,7,Start Station,33.753818,-84.532484,End Station,33.698257,-84.489437,1069,1142,2272
1642,8,17,Start Station,33.74275,-84.526272,End Station,33.695416,-84.395924,521,1734,3910
1643,8,36,Start Station,33.741633,-84.527523,End Station,33.794435,-84.387396,477,2347,4590
1645,8,12,Start Station,33.764572,-84.457645,End Station,33.753782,-84.473987,1022,482,295
1671,8,9,Start Station,33.754057,-84.492823,End Station,33.733847,-84.512899,428,242,616
1674,8,33,Start Station,33.744919,-84.369792,End Station,33.759262,-84.370623,506,1572,1034
1676,8,28,Start Station,33.709353,-84.449818,End Station,33.759262,-84.370623,354,1321,1624
1677,8,45,Start Station,33.773769,-84.350847,End Station,33.754447,-84.377263,474,653,1119
1679,8,7,Start Station,33.750877,-84.475926,End Station,33.752357,-84.382364,447,942,1481
1680,7,14,Start Station,33.760952,-84.405418,End Station,33.786362,-84.395071,1461,594,883
1681,7,56,Start Station,33.74081,-84.396189,End Station,33.749913,-84.475381,1065,602,1783
1682,7,37,Start Station,33.745874,-84.508484,End Station,33.733847,-84.512899,267,242,205
1683,6,4,Start Station,33.667666,-84.445983,End Station,33.768981,-84.419652,1488,579,1593
1686,8,4,Start Station,33.89227,-84.326175,End Station,33.760373,-84.374382,261,1720,2370
1689,7,30,Start Station,33.8146,-84.397384,End Station,33.791253,-84.394383,422,542,1107
1691,6,5,Start Station,33.76188,-84.164086,End Station,33.773422,-84.399324,2118,1225,2411
1694,8,58,Start Station,33.762511,-84.437636,End Station,33.748885,-84.47187,255,2285,1219
1698,6,23,Start Station,33.705299,-84.454127,End Station,33.771349,-84.395546,595,949,1528
1699,8,41,Start Station,33.707908,-84.357155,End Station,33.748407,-84.473932,None,None,None
1700,8,38,Start Station,33.752709,-84.476486,End Station,33.752357,-84.382364,463,1019,864
1701,7,53,Start Station,33.697722,-84.484012,End Station,33.786133,-84.401231,667,978,1982
1702,8,49,Start Station,33.752024,-84.404635,End Station,33.755535,-84.380227,407,242,1013
1703,7,45,Start Station,33.751709,-84.528882,End Station,33.776134,-84.294763,1012,2384,2680
1704,8,37,Start Station,33.761575,-84.441613,End Station,33.755639,-84.384168,386,1057,1522
1711,8,39,Start Station,33.71443,-84.434083,End Station,33.759262,-84.370623,377,1321,1393
1712,8,43,Start Station,33.766563,-84.393976,End Station,33.753503,-84.385182,284,542,729
1713,8,16,Start Station,33.761938,-84.362834,End Station,33.931303,-84.354318,1099,926,1932
1748,7,28,Start Station,33.749677,-84.438255,End Station,33.755733,-84.340795,1116,1223,2066
1758,6,45,Start Station,33.904251,-84.224285,End Station,33.811535,-84.426942,2288,2187,3079
1768,7,10,Start Station,33.908254,-84.383151,End Station,33.775973,-84.384464,465,491,3450
1769,8,1,Start Station,33.797272,-84.406608,End Station,33.779327,-84.397686,764,976,1002
